https://www.africanhut.com/collections/confectionary
A International Brands Thermal Shipping Box. For Orders Requiring Heat and Damage Protection 800g,$6.99
Beacon Apricots 72 Pack 367g,$7.29
Beacon Ebony And Ivory  Chocolate Slab (Kosher) 80g,$3.99
Beacon Mint Imperials 200g,$2.79
Beacon Mint Imperials Bag (Kosher) 75g,$1.49
Beacon Nosh Bar (Kosher) 56g,$1.89
Beacon Toffee Choc Original 125g,$4.19
Beacon Tv Bar Milk Chocolate (Kosher) 47g,$1.69
Beacon Tv Bar White Chocolate (Kosher) 47g,$1.69
Beacon Wonder Bar - Original (Kosher) 23g,$0.89
Cadbury Biscuit Bar 80g,$2.99
Cadbury Bournville Slab 80g,$3.59
Cadbury Bubbly - Top Deck 87g,$3.99
Cadbury Bubbly Milk Chocolate 87g,$4.59
Cadbury Dairy Bubbly - Mint 87g,$4.79
Cadbury Dairy Milk - Whispers 200g,$8.39
Cadbury Dairy Milk - Whispers 65g,$2.79
Cadbury Dairy Milk Bar 37g,$2.59
Cadbury Dairy Milk Bar 80g,$2.49
Cadbury Dipped Flake 32g,$2.19
Cadbury Dream - Biscuit Bar 80g,$2.89
Cadbury Dream Bar 80g,$3.69
Cadbury Eclairs Chocolate Bag (Pack of 50 Chocolates) 230g,$4.39
Cadbury Flake (SA) 32g,$1.99
Cadbury Fruit and Nut Bar 80g,$3.09
Cadbury Mint Crisp Bar 80g,$3.09
Cadbury PS Bar 48g,$2.09
Cadbury PS Caramilk 48g,$1.49
Cadbury Rum and Raisin Bar 80g,$2.99
Cadbury Top Deck Bar - Mint Flavour 80g,$3.99
Cadbury Top Deck Bar 80g,$4.29
Cadbury Tumbles - Shortcake 65g,$3.09
Cadbury Tumbles Raisins 65g,$3.59
Cadbury Whole Nut Bar 80g,$2.39
Fruitella Duo Stix 135g,$2.99
Fruitella Juicy Chews With Real Fruit Juice 135g,$2.99
Hermann the German Black Currant Candy Bag 150g,$6.58
Hermann the German Green Apple Candy Bag 150g,$6.58
Massams Gift Box - Nougat - Almond Rose 150g,$6.19
Massams Nougat - Rose Almond Bar (Kosher) 25g,$0.99
Massams Nougat Almond Cherry Bar (Kosher) 25g,$0.99
Massams Nougat Almond Cherry Box (Pack of Six Bars) (Kosher) 150g,$5.99
Massams Nougat Cashew Honey Bar (Kosher) 25g,$0.89
Massams Nougat Honey Almond Bar (Kosher) 25g,$0.89
Massams Nougat Honey Almond Box (Pack of Six Bars) (Kosher) 150g,$6.09
Massams Nougat Honey Cashew Box (Pack of Six Bars) (Kosher) 150g,$6.49
Nestle Aero - Dark Chocolate Small Bar (Kosher) 40g,$1.89
Nestle Aero - Duet Large Bar (Kosher) 85g,$3.69
Nestle Aero - Milk Chocolate Large Bar (Kosher) 85g,$3.49
Nestle Aero - Mint Large Bar (Kosher) 85g,$3.09
Nestle Aero Milk Chocolate Extra Large Bar (Kosher) 135g,$4.89
Nestle Aero Milk Chocolate Small Bar (Kosher) 40g,$1.89
Nestle Bar One Original Bar (Kosher) 52g,$1.49
Nestle Confectionery - Choc Slab - Aero Dark (Kosher)  85g,$3.19
Nestle Milkybar (Kosher) 150g,$4.89
Nestle Milkybar - with Smarties (Kosher) 80g,$2.59
Nestle Milkybar Krackle (Kosher) 80g,$3.49
Nestle Milkybar Original (Kosher) 80g,$2.79
Nestle Passions Bag 130g,$5.89
Nestle Peppermint Crisp (Kosher) 49g,$1.99
Nestle Tex Bar - Giant (Kosher) 58g,$2.59
Nestle Tex Bar Original (Kosher) 40g,$1.99
Nestle Violet Crumble Chunks 170g,$6.09
PVM Bar Chocolate Energy Bar 45g,$2.69
PVM Bar Chocolate Strawberry Energy Bar 45g,$2.79
